dataset,model,tier,rmse,mae,r2,train_time_sec,predict_time_sec,peak_mem_mb,refresh_count,condition_proxy,stability_rmse_var,stability_time_var,stability_cond_var
CaliforniaHousing,Kernos,Small,0.557285 ± 0.016749,0.403303 ± 0.009127,0.685895 ± 0.016676,1.6213 ± 0.0285,0.043646 ± 0.000644,1181.74 ± 0.00,1.0 ± 0.0,7.64e+06 ± 4.51e+05,0.016749104187989035,0.028512279679210235,451489.6440578744
CaliforniaHousing,Ridge,Small,0.627522 ± 0.012711,0.459504 ± 0.005907,0.602054 ± 0.004890,0.0001 ± 0.0000,0.000008 ± 0.000001,0.01 ± 0.00,0.0 ± 0.0,nan ± nan,0.012710823358868894,7.792214976658493e-06,nan
CaliforniaHousing,Nystrom,Small,0.662900 ± 0.024107,0.481798 ± 0.017232,0.555905 ± 0.019974,0.0858 ± 0.0023,0.011107 ± 0.000459,239.98 ± 0.00,0.0 ± 0.0,nan ± nan,0.02410736700615586,0.002269415080446891,nan
CaliforniaHousing,RFF,Small,0.566843 ± 0.010761,0.403323 ± 0.004190,0.675207 ± 0.007870,0.0963 ± 0.0057,0.016620 ± 0.002529,169.34 ± 0.00,0.0 ± 0.0,nan ± nan,0.01076071835424106,0.005676744358925956,nan
CaliforniaHousing,K-NoRefresh,Small,0.540308 ± 0.014266,0.389841 ± 0.005806,0.704939 ± 0.009443,1.5234 ± 0.0890,0.041809 ± 0.000970,1181.74 ± 0.00,0.0 ± 0.0,7.81e+06 ± 7.24e+04,0.014265883124272873,0.08904444669726788,72438.08107559876
CaliforniaHousing,K-NoHysteresis,Small,0.557285 ± 0.016749,0.403303 ± 0.009127,0.685895 ± 0.016676,1.6366 ± 0.0308,0.043125 ± 0.001879,1181.74 ± 0.00,1.0 ± 0.0,7.64e+06 ± 4.51e+05,0.016749104187989035,0.030816838460175407,451489.6440578744
CaliforniaHousing,K-NoCooldown,Small,0.557285 ± 0.016749,0.403303 ± 0.009127,0.685895 ± 0.016676,1.6945 ± 0.0616,0.041742 ± 0.001394,1181.74 ± 0.00,1.0 ± 0.0,7.64e+06 ± 4.51e+05,0.016749104187989035,0.06155548391387319,451489.6440578744
CaliforniaHousing,K-NoResidAnchors,Small,0.561900 ± 0.019171,0.409183 ± 0.010570,0.680777 ± 0.016498,1.5971 ± 0.1411,0.041257 ± 0.001634,1181.74 ± 0.00,1.0 ± 0.0,7.86e+06 ± 2.84e+05,0.019171158740903717,0.14114437700699173,284145.15777309
CaliforniaHousing,K-NoOrthog,Small,0.556882 ± 0.017288,0.402795 ± 0.009784,0.686331 ± 0.017349,1.1154 ± 0.0903,0.020696 ± 0.000890,401.50 ± 0.00,1.0 ± 0.0,1.04e+07 ± 5.86e+05,0.017288022844713924,0.0903033942195756,585657.58020531
CaliforniaHousing,K-NoDivPenalty,Small,0.557285 ± 0.016749,0.403303 ± 0.009127,0.685895 ± 0.016676,1.5164 ± 0.0660,0.041090 ± 0.001426,1181.74 ± 0.00,1.0 ± 0.0,7.64e+06 ± 4.51e+05,0.016749104187989035,0.06595162653877036,451489.6440578744
